trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
338,False,"{'a': 0.3, 'e': 0.03347308759177371}",25,11,26.72732418123606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.3, 'e': 0.03313835671585597}",20,2,28.011614037117766,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.3, 'e': 0.03280697314869741}",30,20,16.954645121808483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.3, 'e': 0.032478903417210436}",30,7,42.89566349997224,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.3, 'e': 0.032154114383038335}",30,24,13.214909867066254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.3, 'e': 0.03183257323920795}",20,16,7.2229658093523454,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.3, 'e': 0.03151424750681587}",30,17,26.397658509808597,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.3, 'e': 0.03119910503174771}",20,8,24.09816127447069,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.3, 'e': 0.030887113981430233}",20,14,10.36903593587484,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.3, 'e': 0.03057824284161593}",25,7,32.76207579075767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.3, 'e': 0.03027246041319977}",20,8,21.573717975878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.3, 'e': 0.029969735809067772}",30,20,20.593232494491506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.3, 'e': 0.029670038450977095}",20,11,17.843664006778916,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.3, 'e': 0.029373338066467324}",30,15,25.413342578800908,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.3, 'e': 0.02907960468580265}",25,0,37.676245801820116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
353,False,"{'a': 0.3, 'e': 0.028788808638944622}",25,11,25.875726720804977,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.3, 'e': 0.028500920552555174}",25,4,27.51895316830715,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.3, 'e': 0.028215911347029624}",20,6,25.537652826601107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.3, 'e': 0.027933752233559327}",20,14,10.390385862496837,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.3, 'e': 0.027654414711223735}",25,18,11.49667297644675,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.3, 'e': 0.027377870564111496}",20,12,14.661920095265499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.3, 'e': 0.027104091858470382}",20,14,8.547225938180516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.3, 'e': 0.026833050939885677}",25,13,24.48711038242723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.3, 'e': 0.02656472043048682}",25,17,13.101219405299426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.3, 'e': 0.02629907322618195}",35,21,27.34555521092442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.3, 'e': 0.026036082493920133}",30,7,38.50704552805888,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.3, 'e': 0.02577572166898093}",25,15,20.806133279282555,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.3, 'e': 0.025517964452291122}",20,14,-2.077746732975518,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.3, 'e': 0.02526278480776821}",25,9,28.898677774374896,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.3, 'e': 0.025010156959690527}",30,15,27.221802930877146,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.3, 'e': 0.02476005539009362}",20,8,19.544563852414303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.3, 'e': 0.024512454836192684}",25,18,9.682347280316748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.3, 'e': 0.024267330287830756}",20,8,24.859315313586173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.3, 'e': 0.024024656984952448}",20,9,20.849506401938214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.3, 'e': 0.023784410415102923}",30,16,25.847441813271566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.3, 'e': 0.023546566310951894}",20,13,15.043032053329876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.3, 'e': 0.023311100647842375}",20,16,6.884067622909477,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.3, 'e': 0.02307798964136395}",20,9,-23.428754393775396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
